asset_id,asset_type,country,city,geo_lat,geo_lon,location_quality,currency_code,valuation_date,age_years,base_value_hint,year_built,floor,floors_total,bedrooms,bathrooms,parking_slots,area_m2,land_area_m2,frontage_m,road_width_m,zoning,condition_grade,occupancy,monthly_rent,flood_risk_zone,school_dist_km,metro_dist_km,shape_quality,road_access,year_make_model,vehicle_year,odometer_km,engine_cc,accident_history,service_records_count,ownership_count,inspection_needed,legal_status,ownership_verified,lien_count,registry_id,requested_amount,market_value,estimated_value,LTV,CCR,quality_score,decision,rule_reasons
A-000060,Apartment,DE,Berlin,52.53226,13.40718,B,USD,2025-10-30,20,116580.0,2005.0,12.0,23.0,2.0,1.0,0.0,279.0,26.0,6.58,8.59,Residential,B,owner,466.0,0.0,1.35,0.66,,,,,,,,,,True,Pending Verification,False,0,REG-153538022,28436.0,59405.22,60288.91,0.4717,2.1202,0.828,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000061,House,VN,Ho Chi Minh,10.77628,106.68573,A,USD,2025-10-30,37,274783.0,1988.0,0.0,1.0,1.0,3.0,2.0,2277.0,588.0,17.68,29.91,Mixed,A,owner,373.0,0.0,1.42,1.65,,,,,,,,,,False,Clean,False,0,REG-513848857,118515.0,150149.65,141259.83,0.839,1.1919,0.889,approved,"{'legal_clean': True, 'ltv_le_70': False, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000062,Condo,VN,Hanoi,21.02173,105.84654,C,USD,2025-10-30,58,111689.0,1967.0,20.0,34.0,0.0,2.0,1.0,159.0,666.0,15.22,20.1,Commercial,D,vacant,4383.0,0.0,0.44,1.97,,,,,,,,,,True,Clean,True,0,REG-273887489,24938.0,39623.9,38186.76,0.6531,1.5313,0.693,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000063,Car,JP,Tokyo,35.67923,139.72479,A,USD,2025-10-30,12,55732.0,,,,,,,,,,,,,,,,,,,,2019 Kia Elantra,2019.0,135445.0,1886.0,0.0,14.0,3.0,False,Clean,True,0,REG-876932753,11911.0,36506.84,39152.38,0.3042,3.2871,0.877,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000064,Apartment,US,New York,40.69753,-74.00953,A,USD,2025-10-30,1,137047.0,2024.0,18.0,6.0,5.0,1.0,1.0,101.0,465.0,4.14,24.24,Mixed,D,owner,1984.0,1.0,2.17,0.85,,,,,,,,,,True,Clean,True,1,REG-174936800,68647.0,120806.41,125913.4,0.5452,1.8342,0.846,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000065,House,US,San Jose,37.32677,-121.91315,C,USD,2025-10-30,23,428165.0,2002.0,0.0,3.0,2.0,1.0,1.0,1935.0,4912.0,19.79,14.47,Mixed,B,owner,2219.0,1.0,1.32,1.52,,,,,,,,,,True,Clean,True,0,REG-190995549,58067.0,186122.35,189621.86,0.3062,3.2656,0.611,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000066,Land Plot,UK,London,51.52381,-0.13521,C,USD,2025-10-30,34,200839.0,,,,,,,,7690.0,16.79,,Industrial,,,,,,,A,True,,,,,,,,False,Clean,False,0,REG-136085508,925004.0,2654969.65,2771329.49,0.3338,2.996,0.704,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000067,Apartment,FR,Paris,48.86824,2.38719,A,USD,2025-10-30,21,152934.0,2004.0,4.0,17.0,2.0,1.0,0.0,225.0,369.0,28.93,4.09,Mixed,C,owner,3132.0,1.0,1.75,1.65,,,,,,,,,,True,Disputed,True,2,REG-670810989,30284.0,91794.93,100574.91,0.3011,3.3211,0.749,denied,"{'legal_clean': False, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000068,Land Plot,DE,Berlin,52.50986,13.40179,B,USD,2025-10-30,58,136849.0,,,,,,,,2526.0,15.41,,Industrial,,,,,,,D,False,,,,,,,,True,Clean,True,0,REG-254934576,451460.0,615360.9,644885.63,0.7001,1.4284,0.855,approved,"{'legal_clean': True, 'ltv_le_70': False, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000069,Apartment,VN,Ho Chi Minh,10.7881,106.66789,A,USD,2025-10-30,32,244113.0,1993.0,22.0,9.0,5.0,2.0,2.0,311.0,482.0,15.87,13.43,Commercial,B,owner,2169.0,0.0,2.34,0.47,,,,,,,,,,True,Clean,False,1,REG-449254192,46371.0,146011.27,149385.69,0.3104,3.2215,0.855,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000070,Apartment,VN,Hanoi,21.05725,105.85205,B,USD,2025-10-30,33,88349.0,1992.0,9.0,6.0,5.0,1.0,0.0,98.0,148.0,27.72,17.5,Industrial,C,owner,3044.0,1.0,4.23,0.05,,,,,,,,,,True,Pending Verification,True,0,REG-312724391,14419.0,41759.95,46414.67,0.3107,3.219,0.708,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000071,Land Plot,JP,Tokyo,35.68056,139.68566,B,USD,2025-10-30,10,278955.0,,,,,,,,1347.0,17.58,,Commercial,,,,,,,C,True,,,,,,,,True,Clean,True,0,REG-687872695,391239.0,993114.58,950003.8,0.4118,2.4282,0.815,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000072,Apartment,US,New York,40.71474,-74.01167,B,USD,2025-10-30,25,245461.0,2000.0,2.0,29.0,3.0,1.0,0.0,294.0,637.0,5.32,29.5,Residential,D,tenant,2814.0,0.0,2.51,1.12,,,,,,,,,,False,Clean,True,1,REG-929553368,77730.0,125581.37,140020.65,0.5551,1.8014,0.831,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000073,Apartment,US,San Jose,37.37571,-121.88285,C,USD,2025-10-30,37,218060.0,1988.0,9.0,20.0,0.0,3.0,1.0,197.0,532.0,23.38,6.54,Residential,B,tenant,680.0,0.0,1.81,1.07,,,,,,,,,,True,Clean,True,1,REG-482573590,32088.0,85066.81,92322.38,0.3476,2.8772,0.69,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000074,Condo,UK,London,51.50229,-0.1134,C,USD,2025-10-30,28,258463.0,1997.0,4.0,16.0,1.0,1.0,0.0,168.0,127.0,18.31,22.04,Residential,C,tenant,419.0,0.0,2.71,0.25,,,,,,,,,,True,Clean,True,0,REG-808821344,42261.0,87970.04,89422.82,0.4726,2.116,0.711,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000075,Land Plot,FR,Paris,48.86997,2.30786,C,USD,2025-10-30,0,192364.0,,,,,,,,5625.0,25.31,,Commercial,,,,,,,A,True,,,,,,,,False,Clean,False,0,REG-217801297,1276324.0,2324962.05,2288323.63,0.5578,1.7929,0.759,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000076,Land Plot,DE,Berlin,52.49464,13.35501,D,USD,2025-10-30,45,60026.0,,,,,,,,5701.0,31.25,,Residential,,,,,,,B,False,,,,,,,,True,Clean,True,0,REG-514838251,256519.0,445282.98,419349.08,0.6117,1.6348,0.593,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000077,House,VN,Ho Chi Minh,10.76081,106.71498,C,USD,2025-10-30,9,239452.0,2016.0,0.0,1.0,2.0,3.0,0.0,2477.0,3062.0,28.41,12.31,Mixed,B,owner,3342.0,0.0,1.28,0.73,,,,,,,,,,True,Disputed,True,0,REG-900909105,79633.0,124298.37,119770.11,0.6649,1.504,0.676,denied,"{'legal_clean': False, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000078,Apartment,VN,Hanoi,21.03618,105.83708,D,USD,2025-10-30,25,119993.0,2000.0,24.0,11.0,2.0,3.0,1.0,124.0,5.0,15.25,9.83,Commercial,C,tenant,3472.0,0.0,0.55,0.19,,,,,,,,,,True,Clean,False,2,REG-833026487,27182.0,34104.9,34694.45,0.7835,1.2764,0.605,approved,"{'legal_clean': True, 'ltv_le_70': False, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000079,Car,JP,Tokyo,35.691,139.67594,B,USD,2025-10-30,11,16232.0,,,,,,,,,,,,,,,,,,,,2013 Ford 3 Series,2013.0,111645.0,2667.0,1.0,7.0,2.0,True,Clean,False,0,REG-312917005,2879.0,5691.29,5782.59,0.4979,2.0085,0.866,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000080,Apartment,US,New York,40.68865,-74.0111,A,USD,2025-10-30,11,148599.0,2014.0,12.0,10.0,1.0,1.0,2.0,104.0,907.0,24.87,10.18,Industrial,B,owner,1644.0,0.0,2.53,3.53,,,,,,,,,,False,Clean,False,0,REG-256379065,34641.0,109087.92,112237.3,0.3086,3.24,0.907,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000081,Car,US,San Jose,37.35524,-121.86649,D,USD,2025-10-30,31,8284.0,,,,,,,,,,,,,,,,,,,,2023 Kia C-Class,2023.0,79921.0,1328.0,0.0,9.0,2.0,True,Disputed,True,0,REG-304895031,5137.0,7735.46,8112.11,0.6333,1.5792,0.685,denied,"{'legal_clean': False, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000082,Apartment,UK,London,51.49592,-0.14942,C,USD,2025-10-30,59,120517.0,1966.0,8.0,20.0,4.0,2.0,1.0,243.0,857.0,24.46,27.66,Commercial,B,tenant,1737.0,0.0,1.76,0.05,,,,,,,,,,False,Clean,True,0,REG-206059510,31098.0,47054.03,47356.64,0.6567,1.5228,0.773,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000083,Condo,FR,Paris,48.85795,2.38597,D,USD,2025-10-30,52,110438.0,1973.0,7.0,21.0,4.0,2.0,1.0,253.0,979.0,26.97,11.14,Residential,B,tenant,4621.0,0.0,1.27,0.98,,,,,,,,,,False,Clean,True,0,REG-654010487,17412.0,29930.88,31769.26,0.5481,1.8246,0.587,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000084,Land Plot,DE,Berlin,52.5328,13.39923,A,USD,2025-10-30,21,307391.0,,,,,,,,4338.0,52.66,,Commercial,,,,,,,C,True,,,,,,,,True,Pending Verification,False,2,REG-145792660,1805113.0,3191240.0,3116921.1,0.5791,1.7267,0.859,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000085,Car,VN,Ho Chi Minh,10.74525,106.70407,D,USD,2025-10-30,55,39554.0,,,,,,,,,,,,,,,,,,,,2011 Mercedes Civic,2011.0,115135.0,1195.0,0.0,9.0,1.0,False,Clean,True,0,REG-769595249,6853.0,11629.96,11564.15,0.5926,1.6875,0.697,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000086,Car,VN,Hanoi,21.02253,105.82833,B,USD,2025-10-30,11,12807.0,,,,,,,,,,,,,,,,,,,,2016 Toyota Civic,2016.0,247506.0,1288.0,0.0,1.0,2.0,True,Clean,False,0,REG-181001251,3869.0,6287.34,6258.77,0.6182,1.6177,0.832,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000087,Car,JP,Tokyo,35.67571,139.66116,B,USD,2025-10-30,25,56777.0,,,,,,,,,,,,,,,,,,,,2022 BMW 3 Series,2022.0,42615.0,3638.0,0.0,3.0,3.0,True,Clean,False,0,REG-252742694,16567.0,48890.36,49657.49,0.3336,2.9974,0.792,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000088,Condo,US,New York,40.72786,-74.02549,D,USD,2025-10-30,33,149753.0,1992.0,15.0,18.0,3.0,1.0,1.0,371.0,135.0,22.03,21.22,Industrial,A,owner,4095.0,0.0,0.78,1.87,,,,,,,,,,False,Clean,False,0,REG-405291306,17087.0,40827.33,40192.49,0.4251,2.3522,0.645,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000089,House,US,San Jose,37.34144,-121.91591,B,USD,2025-10-30,57,320889.0,1968.0,0.0,4.0,3.0,3.0,2.0,412.0,433.0,17.41,16.0,Industrial,C,tenant,5530.0,1.0,0.41,1.44,,,,,,,,,,False,Pending Verification,True,2,REG-542631322,43171.0,143768.15,145736.64,0.2962,3.3758,0.747,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000090,Car,UK,London,51.46296,-0.12651,C,USD,2025-10-30,24,45731.0,,,,,,,,,,,,,,,,,,,,2013 BMW 3 Series,2013.0,162182.0,2064.0,0.0,6.0,1.0,True,Pending Verification,False,2,REG-250628499,12138.0,17902.63,18762.62,0.6469,1.5458,0.775,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000091,Condo,FR,Paris,48.82052,2.35548,B,USD,2025-10-30,0,297958.0,2025.0,3.0,21.0,2.0,2.0,2.0,347.0,401.0,9.3,17.27,Mixed,D,owner,5632.0,0.0,3.56,0.5,,,,,,,,,,True,Clean,False,1,REG-994170269,102442.0,235734.74,222565.09,0.4603,2.1726,0.821,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000092,Apartment,DE,Berlin,52.52176,13.41439,B,USD,2025-10-30,19,169682.0,2006.0,4.0,17.0,1.0,2.0,2.0,394.0,446.0,9.92,23.5,Mixed,A,owner,3323.0,0.0,2.23,0.96,,,,,,,,,,True,Clean,True,0,REG-481668641,53803.0,91059.13,90291.27,0.5959,1.6782,0.857,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000093,Apartment,VN,Ho Chi Minh,10.78787,106.67206,B,USD,2025-10-30,37,231818.0,1988.0,4.0,1.0,3.0,1.0,1.0,363.0,337.0,7.9,8.48,Industrial,C,tenant,1178.0,0.0,0.94,0.26,,,,,,,,,,True,Clean,False,0,REG-822477024,53979.0,112496.69,103350.23,0.5223,1.9146,0.761,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000094,Apartment,VN,Hanoi,21.01086,105.84203,B,USD,2025-10-30,46,168748.0,1979.0,20.0,9.0,4.0,1.0,0.0,349.0,475.0,19.69,9.63,Residential,B,tenant,255.0,0.0,1.55,0.34,,,,,,,,,,False,Clean,False,1,REG-668428763,59156.0,77350.95,76848.07,0.7698,1.2991,0.866,approved,"{'legal_clean': True, 'ltv_le_70': False, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000095,House,JP,Tokyo,35.65678,139.69065,C,USD,2025-10-30,33,419950.0,1992.0,0.0,1.0,0.0,3.0,0.0,1864.0,4696.0,14.85,18.44,Industrial,B,tenant,4253.0,0.0,3.03,0.34,,,,,,,,,,True,Disputed,True,0,REG-272287851,68610.0,150427.3,146041.47,0.4698,2.1286,0.743,denied,"{'legal_clean': False, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000096,Apartment,US,New York,40.72465,-74.04438,B,USD,2025-10-30,12,240966.0,2013.0,21.0,26.0,2.0,1.0,2.0,319.0,241.0,20.09,28.02,Residential,C,vacant,1547.0,0.0,0.2,0.6,,,,,,,,,,False,Pending Verification,True,1,REG-188117415,74427.0,138430.29,138820.74,0.5361,1.8652,0.789,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000097,Apartment,US,San Jose,37.30447,-121.90308,B,USD,2025-10-30,15,190635.0,2010.0,5.0,5.0,2.0,3.0,2.0,208.0,282.0,7.97,21.56,Residential,A,owner,2728.0,0.0,1.57,1.84,,,,,,,,,,False,Clean,True,1,REG-957677644,35213.0,111428.76,120881.19,0.2913,3.4329,0.8,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000098,Condo,UK,London,51.46214,-0.11565,B,USD,2025-10-30,48,91231.0,1977.0,10.0,34.0,3.0,1.0,1.0,79.0,21.0,17.39,12.31,Mixed,B,tenant,2527.0,1.0,2.23,1.97,,,,,,,,,,True,Clean,False,0,REG-788293632,29527.0,42560.97,42366.17,0.6969,1.4348,0.766,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000099,Car,FR,Paris,48.90428,2.34096,B,USD,2025-10-30,5,69197.0,,,,,,,,,,,,,,,,,,,,2013 Toyota Civic,2013.0,115864.0,1342.0,0.0,12.0,1.0,True,Clean,True,1,REG-402657246,10831.0,29637.22,29873.28,0.3626,2.7581,0.815,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000100,House,DE,Berlin,52.50679,13.42164,D,USD,2025-10-30,51,182064.0,1974.0,0.0,3.0,0.0,1.0,1.0,2575.0,4324.0,17.8,29.37,Commercial,B,owner,1198.0,0.0,2.11,1.79,,,,,,,,,,True,Pending Verification,True,2,REG-753433080,28249.0,44319.61,44972.42,0.6281,1.592,0.623,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000101,House,VN,Ho Chi Minh,10.81833,106.68473,B,USD,2025-10-30,12,135943.0,2013.0,0.0,5.0,2.0,2.0,2.0,174.0,2857.0,7.22,9.44,Commercial,C,owner,1780.0,1.0,1.51,0.25,,,,,,,,,,False,Disputed,False,1,REG-339239422,71454.0,89722.04,97448.73,0.7332,1.3638,0.675,denied,"{'legal_clean': False, 'ltv_le_70': False, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000102,Apartment,VN,Hanoi,21.01382,105.83654,C,USD,2025-10-30,15,123999.0,2010.0,1.0,37.0,0.0,3.0,0.0,150.0,273.0,4.85,10.54,Commercial,B,owner,1157.0,1.0,1.08,1.53,,,,,,,,,,True,Clean,False,2,REG-644623268,36011.0,53088.27,55802.17,0.6453,1.5496,0.666,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000103,Condo,JP,Tokyo,35.67809,139.68064,B,USD,2025-10-30,28,278055.0,1997.0,5.0,17.0,0.0,3.0,2.0,327.0,764.0,28.16,5.55,Commercial,E,tenant,217.0,0.0,1.29,1.82,,,,,,,,,,False,Clean,True,1,REG-859845120,87488.0,145521.86,137901.7,0.6344,1.5762,0.767,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000104,Land Plot,US,New York,40.71781,-74.00007,B,USD,2025-10-30,25,47862.0,,,,,,,,7042.0,19.87,,Agricultural,,,,,,,B,True,,,,,,,,False,Clean,True,0,REG-865431806,410876.0,745345.4,715191.48,0.5745,1.7407,0.786,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000105,Condo,US,San Jose,37.34386,-121.84587,C,USD,2025-10-30,15,230589.0,2010.0,24.0,1.0,4.0,2.0,2.0,241.0,838.0,7.69,17.21,Industrial,D,tenant,1019.0,0.0,1.67,3.36,,,,,,,,,,True,Clean,False,1,REG-968544803,36117.0,109637.27,104469.63,0.3457,2.8925,0.753,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000106,Condo,UK,London,51.49271,-0.11745,B,USD,2025-10-30,15,277893.0,2010.0,7.0,8.0,1.0,1.0,0.0,245.0,333.0,15.51,7.22,Industrial,B,vacant,4583.0,0.0,3.3,1.71,,,,,,,,,,False,Clean,True,0,REG-943346286,56810.0,159127.39,145528.16,0.3904,2.5617,0.869,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000107,Condo,FR,Paris,48.84298,2.32845,B,USD,2025-10-30,15,190303.0,2010.0,17.0,24.0,0.0,2.0,0.0,68.0,653.0,12.81,20.7,Commercial,D,tenant,564.0,0.0,1.88,0.83,,,,,,,,,,False,Clean,True,2,REG-873069753,55466.0,123689.41,117931.21,0.4703,2.1262,0.799,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000108,Car,DE,Berlin,52.52074,13.41346,A,USD,2025-10-30,14,27449.0,,,,,,,,,,,,,,,,,,,,2021 Ford Sportage,2021.0,194105.0,1039.0,0.0,5.0,1.0,True,Clean,False,0,REG-449338450,14769.0,21195.06,21842.41,0.6762,1.4789,0.881,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000109,Car,VN,Ho Chi Minh,10.79581,106.71959,B,USD,2025-10-30,42,53848.0,,,,,,,,,,,,,,,,,,,,2010 Ford Civic,2010.0,182240.0,3915.0,0.0,13.0,3.0,False,Clean,False,0,REG-213907412,12599.0,17153.66,17354.61,0.726,1.3775,0.822,approved,"{'legal_clean': True, 'ltv_le_70': False, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000110,Land Plot,VN,Hanoi,21.03159,105.88372,C,USD,2025-10-30,42,290397.0,,,,,,,,2516.0,10.15,,Residential,,,,,,,C,True,,,,,,,,False,Clean,False,2,REG-405121262,473277.0,1060788.72,1125994.12,0.4203,2.3791,0.74,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000111,Land Plot,JP,Tokyo,35.65213,139.70885,B,USD,2025-10-30,53,31797.0,,,,,,,,7647.0,57.19,,Industrial,,,,,,,C,False,,,,,,,,True,Clean,False,1,REG-138857702,281848.0,544037.42,511872.56,0.5506,1.8161,0.818,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000112,House,US,New York,40.71493,-73.98831,D,USD,2025-10-30,0,188668.0,2025.0,0.0,4.0,2.0,1.0,0.0,867.0,938.0,23.87,16.4,Industrial,A,owner,5515.0,0.0,2.91,1.3,,,,,,,,,,True,Clean,True,0,REG-446215124,26624.0,66719.27,64896.04,0.4103,2.4375,0.64,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000113,House,US,San Jose,37.3647,-121.88973,C,USD,2025-10-30,12,449929.0,2013.0,0.0,5.0,2.0,2.0,1.0,1981.0,420.0,8.43,4.87,Industrial,B,tenant,4367.0,0.0,4.57,0.6,,,,,,,,,,False,Clean,False,0,REG-720785662,62143.0,189378.32,180950.79,0.3434,2.9118,0.683,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000114,Apartment,UK,London,51.49131,-0.11261,C,USD,2025-10-30,24,105522.0,2001.0,14.0,33.0,5.0,1.0,0.0,204.0,98.0,21.3,21.5,Mixed,B,owner,367.0,0.0,1.73,1.54,,,,,,,,,,True,Clean,False,2,REG-990182744,17492.0,41117.97,36217.97,0.483,2.0705,0.673,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000115,Car,FR,Paris,48.8894,2.35339,C,USD,2025-10-30,9,42094.0,,,,,,,,,,,,,,,,,,,,2010 Toyota Civic,2010.0,77394.0,3663.0,1.0,4.0,1.0,True,Disputed,False,0,REG-493040198,6752.0,11328.96,11221.29,0.6017,1.6619,0.698,denied,"{'legal_clean': False, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000116,House,DE,Berlin,52.53623,13.3906,B,USD,2025-10-30,33,352501.0,1992.0,0.0,3.0,1.0,3.0,2.0,2274.0,2381.0,24.95,9.68,Mixed,C,owner,5235.0,0.0,3.57,2.46,,,,,,,,,,False,Clean,True,0,REG-451853282,96107.0,168988.62,190381.77,0.5048,1.9809,0.768,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000117,Condo,VN,Ho Chi Minh,10.77224,106.68234,D,USD,2025-10-30,50,110356.0,1975.0,4.0,36.0,5.0,3.0,0.0,50.0,55.0,20.42,23.45,Industrial,D,tenant,5275.0,0.0,1.48,1.75,,,,,,,,,,False,Clean,False,0,REG-788789100,18456.0,29194.8,30834.23,0.5986,1.6707,0.671,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000118,Condo,VN,Hanoi,21.03412,105.8068,B,USD,2025-10-30,2,191230.0,2023.0,10.0,34.0,3.0,3.0,1.0,154.0,657.0,22.73,20.32,Commercial,C,tenant,4741.0,0.0,0.35,1.43,,,,,,,,,,True,Clean,True,1,REG-152286728,95500.0,149329.55,142602.0,0.6697,1.4932,0.826,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000119,Land Plot,JP,Tokyo,35.64594,139.66117,C,USD,2025-10-30,43,195112.0,,,,,,,,6708.0,44.78,,Agricultural,,,,,,,B,False,,,,,,,,False,Clean,True,0,REG-404732298,694543.0,1869546.91,1975530.52,0.3516,2.8444,0.7,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
